hashtag,nonrumour,rumour
Kentucky,1,1
SecondWave,1,0
TRUMP:,1,0
grieftherapist,1,0
njpwtogether,1,0
HandHygiene,2,0
DiscoveryGrant,1,0
Africa.,1,0
isolation_wards,1,0
WWERaw,1,0
Coronapandemic,1,0
chartoftheday,1,0
ClimateChange,0,1
PmCares,1,0
"2,",1,0
schools,1,0
TaiwanModel,1,1
socialdistancing,3,0
KungFlu,0,1
Aidilfitri,0,1
GetMNDonTheList,1,0
abpoli,1,0
HoleInBuhariNeck,1,0
"Mexicans,",0,1
FreeRealityWinner,1,0
coronaviruskenya,1,1
NigeriaEconomicUpdate,1,0
r4today,2,0
UFWD,1,0
DominicGoings,1,0
SRHRisEssential,1,0
SteinertHighschool,1,0
Opinion:,1,0
AG,1,0
tips,2,0
HCQ—released,1,0
Rwandaworks!,1,0
LockDownOndo.,1,0
BeSafe,1,0
LiarJohnson,1,0
clustertrump,0,1
WorldHealthDay2020,1,0
"RajajiHospital,",1,0
ClimateEmergency,1,0
TokyoMuseums,0,1
NASA,2,0
COVID_19,2,0
NRL,1,0
camps,1,0
COVID19—it’s,1,0
vicpol,1,0
covid19kenya,1,0
BackOnTrack.,1,0
Looting,1,0
NCDCFailedKano,1,0
covid19:,0,1
BellaCiao,0,1
OANN,8,1
BlackLivesMatter.,1,0
eNCA,4,1
Indiafightscorona,1,0
SocialDistancing;,1,0
AmyMcGrath,1,0
Iranian,1,0
Donald,1,0
NHSBirthday,1,0
AbujaTwitterCommunity,1,0
EndTrumpsWarOnAmerica,1,0
CoronaKidney,1,0
CovIdiots,1,0
seun,1,0
DearIreland,1,0
TakingOnCorona,1,0
FUCKKEMP!,0,1
"ObamaGate,",1,0
COVID19Vic,0,1
TenBillionHappy,1,0
BarelyThereBiden,1,0
AKATV,0,1
covidsafe,2,0
VoteBiden,1,0
savelives,2,0
Arkansas,1,0
WBA,2,0
SpreadCalmNotFear,2,0
1.,1,1
StayAtHomeOrder,0,1
TheKingEnternalMonarch's,1,0
ChineseCommunistParty,1,0
WuhanVirus,4,1
WeAreTheCure,5,0
ScrapBrexit,1,0
NoTobacco,1,0
032,1,0
TORNADOWARNING,1,0
TrumpRallyFail,1,0
essentialgoods,0,1
Obamagate:,0,1
TrumpGenocide,1,0
DiscoveryGrants,1,0
Socialdistancing,0,1
KayBurley,4,0
canpoli,1,0
Level4Restrictions,1,0
DemocratBackfire,1,0
Trump,7,7
GaneshUtsav,1,0
China.,3,0
pandemic,8,0
CoronavirusNewYork,2,0
STAYSAFEUG,3,0
NASAWebb,1,0
Philippines,1,0
MTP.,0,1
jakpost,1,0
FlattenTheCurve,5,0
NMFBCares,1,0
memorial,1,0
China_is_terrorist,1,0
CitiCBS,1,0
leaders,0,1
CovidOrganics,1,0
WorldRefugeeDay,0,1
Chennai,1,0
BharatWillDefeatCorona,1,0
easter,1,0
Visakhapatnam,1,0
FridayThoughts,1,0
TrumpResignNow,1,1
Kashmir,1,0
PowerOfYouth,1,0
BuhariTormentor,2,0
lagov,4,1
EASA,1,0
NationalLottery,2,0
StopTheCoronavirusGunSurge,1,0
COVID19--please,0,1
CoVID19,1,0
Democrats,0,1
TheCanadianShield,1,0
hypocrite,1,0
ContestIndia,3,0
StrongerTogether,4,0
AL,1,0
NoVaccineForTrumpDerangementSyndrome,0,1
smallbusiness:,1,0
EU,1,0
Boris,1,0
MaskUpWA.,1,0
SolicitorChat,2,0
CoalCityConnect,1,0
COVID19Nigeria;,1,0
edutwitter,1,0
"Moscow,",0,1
trump,0,2
Day2,1,0
StaySafeUG,3,1
bigtex,1,0
coronavirusaustralia,2,0
WallStreet,1,0
Politics,0,1
edchat,1,0
canada,1,0
Tenet,1,0
scan,1,0
ConstitutionOverCoronavirus,1,1
IamEuropean,0,1
Trump.,0,1
StaySafe.,1,0
Brexit,1,1
torybrexit,1,0
sulk,1,0
kwawesome,1,0
dogs,1,0
ExamFever,0,1
prayer,1,0
WeAreAviation,1,0
day35oflockdown,1,0
Spain,2,0
HANNITY:,0,1
SVP,1,0
BahudaYatra,1,0
NavajoNation.,1,0
chloroquine,1,0
RemoveTrump,1,0
KeepTheHeid,1,0
Fleabag,1,0
NationalDoctorsDay.,1,0
ApartheidIndia,0,1
essentialservices,0,1
GPC,4,0
Rennes,1,0
MedEd,2,0
MaskUpWA,1,0
APFightsCorona,2,0
TelanganaFightsCorona,4,0
Easter,2,0
BREAKING:Turns,1,0
AskTheInfoMinistry,1,0
FlawlessSkin,1,0
Atlanta,1,0
COVID19,1365,212
FutureChild,1,0
2A.,0,1
COVID19KE,1,0
Italy,5,0
ShamblesStayatHome,1,0
BangkokPost,1,0
JusticeForRituparnaPegu,1,0
love&amp;care,1,0
special,1,0
MissSA2020,1,0
parenting,1,0
TyrannicalTrump,1,0
blacklivesmatteraustralia,1,0
reopenCanada,1,0
SpreadHumanity,1,0
Coronil,2,0
FoxBusiness,0,1
TrumpCrimeFamily,1,1
Australia,1,0
music,0,1
Lockdown4,0,1
PutinsPussyPotus,1,0
DearBlackPeople,0,1
WakeUpAmerica,0,1
"India,",0,1
ToryScum,0,1
PreventCOVID19Spread!,1,0
buyapaper.,1,0
Wisconsin,1,0
WhyTrumpMightQuit,0,1
MizuharaKiko,1,0
Biden,1,0
CGTNOpinion,1,0
HambalyoSomaliland,1,0
litter.,1,0
ShareCulture,0,1
StayatHome,4,0
nolitimere,1,0
CitiNewsroom,1,1
4thofJuly,1,0
Takeresponsibility,1,0
Covid_19india,5,0
BeTheBest,1,0
SASSA,1,0
TRMS,1,0
HomesAtTheHeart,1,0
트와이스,1,0
044,1,0
paramedical,1,0
Swasari',1,0
EveryDeathCounts,1,0
Millenials.,1,0
itelEasterGoodies,0,1
placeborita,1,0
PERU:,1,0
Kerala.,2,0
60Minutes,1,0
Loamyword.,1,0
DominicCummings,2,0
COVIDToronto,0,1
GetUsPPE,0,1
covid19.,2,3
ObamaGate,1,0
protest,1,0
Bauchi,1,0
NEWS,0,1
nCoV19,1,0
DStv403,3,0
FreedomIsEssential,1,0
HEROESAct,1,0
Pedogate,1,0
policebrutality,0,1
handwashing,1,0
"1,",1,0
SaveHigherEdJobs,1,0
Antifa,1,0
Louisville,1,0
DholeraSmartCity,0,1
science,1,0
WHACountdown,0,1
NDTVBeeps,1,0
sacrifice,0,1
Vaxxed,1,0
RaniMukerji,1,0
NursingHomeSlaughter,0,1
uMalambane,0,1
Covid19,130,18
JapaneseGP,1,0
NoDealBrexit,2,0
7NEWS,2,0
RYSENSHYNE,1,0
topoli,0,1
TrumpHasNoCredibility,0,1
WarpSpeed,1,0
SundayLive,1,0
Steinmeier:,1,0
priorityCOVIDresearch,1,0
SDGs,1,0
GlobalGoalUnite⭕,1,0
CoronavirusPandemic.,4,0
YouClapForMeNow,0,1
বাংলাচায়নাঅমিত_শাহ,1,0
Indians,1,0
Covidiiots,0,1
gapol,6,0
MaskUp,2,0
"ALLINCHALLENGE,",1,0
thursdaymorning,0,2
BREAKING-,1,0
IndependenceDay,1,0
UEL,1,0
DarkestTimeline,1,0
liveline,3,0
StandingTogether.,1,0
SABCNEWS,1,0
washyourhands,1,0
StaySafeMN,1,0
Coronavirus;,1,0
"LockdownLowdown,",1,0
tweetorial!,1,0
Coronaphobia,0,1
GiveBlood,1,0
TrumpLiesPeopleDie,0,1
France,1,0
orangecounty,1,0
WHO.,1,0
nightlife,0,1
Verdict,0,1
Saudi,1,0
breaking,0,1
KP5,1,0
lockdownrecipe,1,0
alfieboe,1,0
Fleabag.,1,0
instapoll,2,0
remdesivir,1,0
NUFC,0,1
DomesticViolence?,1,0
video,1,0
"WorldHealthDay,",1,0
GLNRToday,1,0
AltNewsFactCheck,0,2
BikeBrampton,1,0
NYC,3,0
AlexJones,1,0
GlobalGoals,1,0
swfc,1,0
Dolce&amp;Gabbana,1,0
"coronavirus"":",1,0
covid-19,2,0
DemocraticResistanceTaskForce,1,0
MaskUpArizona,1,0
VoteBlue2020,1,0
COVID2019,15,0
MiamiMarlins,0,1
CNNMeltdown,0,1
kemitalks,1,0
grippe,1,0
LockdownIreland,0,1
Unhinged,1,0
FBRParty,1,0
msm,1,0
QuarantineOnlineParty,1,0
TakeBackControl,1,0
Day5,1,0
PCD11,1,0
PelosiMustGo,1,0
S3599,1,0
ForThePeople.,1,0
Eurogroup,1,0
Israel,0,1
palliativecare,1,0
ImmigrantHealthHeroes,1,0
SARSCoV2,14,1
COVIDCanada,1,0
YourActionsSaveLives,6,0
CubaSalva,1,0
Rwanda's,1,0
Lfc,1,0
bsl,1,0
Odisha,1,0
Patanjali,2,0
ESSENTIAL,1,0
stayhome,5,0
Assam,1,0
QuarantineATVShow.,1,0
drelmoatiku,0,1
NHS💙who,1,0
newmusicvideo,1,0
KillerCuomo,0,1
Covid19.,13,2
MaskUpUtah,1,0
"UDMChiefWhip,",1,0
Kentucky’s,1,0
Death,1,0
RubyPrincess,1,0
NHS,8,1
HapusCOVID19,1,1
LiberalHypocrisy,1,0
unverified,1,0
CoronaVirusAfghanistan,1,0
Montreal,1,0
UKBiobank,1,0
AmericaFirst,3,2
BeatLockDownBlues,1,0
Pence,1,0
JUIF,1,0
RandPaul:,1,0
LordVenkateswara,1,0
AusPol,1,0
NHSheroes,1,1
cook,1,0
Kushner,0,1
Austin,1,0
stayathome,1,0
FutureDoctors,1,0
fireislandcrimes,1,0
NurseWhistleblower,1,0
JT13H,1,0
Querfront,1,0
YESforYOU,1,0
doh,1,0
staysafe.,1,0
Praram,1,0
"CPTPP,",1,0
COVIDUpdates:,1,0
KSATnews,2,0
cmgsees,1,0
Lockdown21,1,0
LockDownDiary,1,0
COVIDー19,32,4
QueensPark,0,1
DrewBrees,1,0
MareaBlancaCoronavirus,1,0
JNJ,1,0
lockdownhustle,1,0
AdninBercerita,1,0
Medicaid,1,0
MARION,1,0
NewYorkTough,0,2
GujaratCoronaUpdate,0,1
PeterSandman,1,0
antibodytesting,1,0
Liberia,1,0
Nebraska.,1,0
colddrinks,1,0
NotTheOnion,0,1
SaferAtHome,3,0
diamondplaza,2,0
TrumpMeltdown,4,2
earthquake,1,0
TrumpVirus?,1,0
DemCast,2,1
수호,1,0
Christian,1,0
MasksNow,1,1
NursesWeek,1,0
COVID19Lagos,2,0
SUHO,1,0
Browns,1,0
topfive,1,3
disabled,1,0
UnderfundedUnderThreat,1,0
Prevention,2,0
3,1,0
DeSantisBetrayedFlorida,1,0
HuSays,1,0
ListenToTheExperts,1,0
Guru,1,0
flattenthecurve.,1,0
safmsunrise,1,0
StayHYPED,1,0
bostonprotest,1,0
coronaravirus,1,0
BrianKemp,0,1
ConfinementJour54,1,0
stayhuman,1,0
shanedawson,1,0
Asia,1,0
bigbaby,1,0
ZachBushMD,1,0
InternationalNursesDay,1,0
EconomicPackage,2,0
ThePrintHealth,1,0
MajorLeagueBaseballMLB,0,1
channel4news:,1,0
Bolsonaro,1,0
femicide,1,0
HumanRightsViolations,0,1
IITJAM,0,1
mummycalmdown,1,0
BloodOnHisHandsHannity,1,0
TRE45ON,0,1
FindBertie,1,0
BAStopThinkAgain,0,1
NeverForget,1,0
tsakanedebonairs,1,0
FFS,1,0
TrumpPandemic,2,0
SDGs.,1,0
WWG1WGA,1,0
CORONA,1,0
HelloWorld,1,0
TestAndTrace,1,0
KejriwalShowsHowItsDone👇🏼,1,0
Michigan,2,1
AmitabhBachchan,1,0
Delhi,3,0
HEB,1,0
China;,1,0
"Ottawa,",1,0
WorldDayAgainstChildLabour.,0,1
coronaboy,1,0
MitchPLEASE,0,1
COVID19🇲🇾,2,0
COVID19;,10,0
"Cummings,",1,0
Wuhan:,1,0
StaySafeStayHome,1,0
HealthyAtHome,2,0
CanadaLockdown,1,0
Catteningthecurve.,1,0
Gujarat,2,0
RoadmapforReopening,1,0
TrumpPlague,0,1
KarenOfTheDay,1,0
ReopenAmerica,1,0
CountryOverParty,1,0
NewZealand,1,0
HAIKYUU401,1,0
CoronavirusReliefBill,1,0
AVCT,1,0
NothingStaysHiddenForever,1,0
Florida,9,3
Modi's,1,0
DeSantis,1,1
bestqualityproducts,1,0
Keralafightscovid,1,0
pmcaresfund,1,0
localgov,0,1
pneumonia,1,0
PromisesMade,0,1
SonicWealthcare,1,0
RIPLungileTom,1,0
heatwave,1,0
Level3Restrictions,0,1
Vaxxed2,1,0
NTVNews,0,1
sans,1,0
moneylinewithNancy,1,0
Contest.,2,0
covid19pandemic,0,1
NationalLockdown,1,0
CompassionateRelease,0,1
LUTH,1,0
india.,1,0
FreeHopewell,1,0
Coronavirus#StayHomeSaveLives,1,0
documentary,1,0
VoteBlue,1,0
CantWait,1,0
keeppushing,1,0
ForNature,1,0
CoronavirusIndia,1,0
TBH365.,0,1
TulsaRally,1,1
PayTheArtist,1,0
HydroChloroquine,1,0
PrideMonth2020,1,0
MTPDaily:,1,0
KanikaKapoor,1,0
coronavirus!,2,1
TrumpGolfsYouDie💀,0,1
NewsAlert,1,0
PlasticFreeJuly.,1,0
nurses,0,1
ScienceNotSilence,0,1
tcot,1,0
TrackandTrace,1,0
coronavirus:,12,1
Covid19Lagos,1,0
"CoronavirusLockdown,",2,0
StaySafe,14,1
Sportsbiz,0,1
vanRE,2,0
Kogi,1,1
ukcoronavirus,1,0
stroke,1,0
CPD,1,0
TrumpHasNoPlan,1,1
ProtectOurNHS,0,1
McConnell's,1,0
mRNA,1,0
TWICE,1,0
covid19SA,1,0
JusticeforJodian,1,0
"COVID19,",66,10
IrelandPhase1,1,0
Ramadan2020!,1,0
CutDataPrices,1,0
ShopSmart,1,0
CERB,1,0
Dobbs,1,1
HAPPINESSFORALLTOGETHER,1,0
Georgia,0,1
DMBDriveIn,0,1
MichiganStrong,1,0
AIDSMEMORIALQUILT,1,0
MND,1,0
FireTrump,1,0
StaySafeUg,0,2
mbpoli,1,0
Coronavirus.,25,1
BetterHealth,1,0
howicompete,1,0
NoPasarán,1,0
CSNA,0,1
employment,1,0
EveryMindMatters.,1,0
ChocellaBrixham,1,0
Coronavirus?,5,0
freeourpeople,0,1
TrinityBellwoods,0,1
PressPlay:,2,0
2019nCoV,2,0
ThisMorning,1,0
immunology.,1,0
"misinformation.""",1,0
inlegis,1,0
IfObamaWereStillPOTUS,1,0
boston25,1,0
Ottawa,1,0
1,2,1
Covid19SA,3,0
CurfewKE,0,1
Yuju,1,0
COVID19toronto,1,0
"Chemnitz,",0,1
BigOnlinePar,1,0
ntpol,1,0
Kenyan,1,0
PopeFrancis,2,0
KazzMagazine,1,0
LAPD,1,0
DeplatformIcke:,1,0
homecare,1,0
Watch,2,0
FuneralsinLockdownLevel3,1,0
KejriwalShowsTheWay,1,0
Nigeria’s,1,0
NSTnation,1,0
FitIndiaTalks,1,0
physicians,0,1
GameChanger,1,0
PMIk,1,0
IgnorantKenyans,0,1
maddow,0,1
"NationalDayOfPrayer,",1,0
InternationalWorkersMemorialDay,1,0
Ontario,1,0
WuhanCoronavirus,2,0
SWASARI,1,0
WorldImmunizationWeek!,1,0
WuhanVirus!,0,1
Insiders,1,0
FlattenTheEconomy,1,0
USPS,0,1
tweetorial,2,0
StayHome,32,2
Buhari,1,0
EndTheNightmare,0,1
dominiccumnings,1,0
CommonwealthVeterans,1,0
Wales,1,0
foodporn,1,0
clarity,0,1
WhereIsTheInterpreter,1,0
LeicesterLockdown!,1,0
COVIDー19.,2,1
"newparents,",1,0
Covidiots,0,1
boycottHP,1,0
SteamedFish,1,0
MaskHole,1,0
WeWillNotSufferInSilence,1,0
fakenews,1,0
isolation,1,0
gratitude,1,0
oregon,1,0
TrumpRally,1,0
Lebanon,1,0
ForAGreaterLagos,1,0
Huawei,3,0
vanguardnews,2,0
SkyFootballShow,1,0
AcademicTwitter,2,0
auspol,14,1
copreps,1,0
dystopia,0,1
newsnight,1,0
COVID19ON,1,0
RENTRELIEF,1,0
cyrilramaphosa,1,0
WheresMitch,2,0
covid19au,1,0
SB19NewPeaksOnBillboard,1,0
Coronavirua,1,0
WhereIsJoeBiden,1,0
canadacovid19,1,0
contestalertindia,1,0
ThursdayThoughts,5,1
EndWildlifeMarkets,1,0
MitchellsPlain,1,0
PSRW,1,0
이달의소녀,1,0
VoteRedToSaveAmerica,1,0
KarensGoneWild,1,2
mtnwestnews,1,0
China's,1,0
kleague,1,0
TakeItOnTheChin,1,0
TDgarden.,1,0
getusadamntest,0,1
makemoneyonline,1,0
COVID19”,0,1
Peston,1,0
DP3T,2,0
contestday,1,0
SendPPE,1,0
COVIDIOT.🤬,1,0
China?,1,0
Nice06,1,0
CoronaDon,1,0
update:,2,0
deconfinement,1,0
DonnieDeathToll,1,0
Ballito,1,0
TrumpBurialPits,1,0
Zimbabwe,1,1
dogsarefamily,1,0
SomethingNewChallenge,1,0
विद्यार्थ्यांचामनसेआवाज,1,0
CCPvirus,2,0
nhsheroes,1,0
Armenia's,1,0
BLKBottomLine,1,0
SABCNews,2,0
TimesPoll,0,1
Pirates,1,0
NoFear,1,0
COVID19SWEDEN,1,0
CoronaUpdatesIndia,1,0
NorthCarolina,1,0
BBCBreakfast,4,1
COVIDIDIOTS,3,0
Covid19InSA,1,0
StephenMiller,1,0
Markaz),1,0
CoronaVirusMexico,1,0
ReopenAmerica!,1,0
StayAtHome,10,5
PubsOpening,1,0
Rajasthan's,1,0
"CoronavirusPandemic,",0,1
openeconomynow,0,1
Cowboys-#Steelers,1,0
HoldStill2020,1,0
AbbracciaUnCinese,1,0
KidVicious🤦🏻‍♂️,0,1
bikelanes,1,0
FocusOnTheTrumpDeathToll100K,0,1
deepsea,1,0
UFC249,3,0
Hyderabad,1,0
"COVID19.""",0,1
"CrushTheCurve,",1,0
CoronavirusOutbreakindia,1,0
Zambia,1,0
Accra,1,0
DermTwitter,1,0
Taiwan,3,1
WAKEUP,1,0
VoteBlueToEndThisNightmare🗣,0,1
TrumpPressConf,2,0
cuomo,1,0
FAIRblog,0,1
NaijaViralz,1,0
PastorChrisGivesAgain,1,0
IDTwitter,1,0
covid19UK,1,0
"NewZealand,",1,0
Ridge,8,0
thanksboris,1,0
RENTRELIEF:,2,0
Day74OfLockdown,1,0
RamdevCoronaCure,0,1
Covid19PH,1,0
MentalHealth,1,0
OdumejeTheLion,1,0
"ioREsiSTOacasa,",0,1
bakersfielddoctors,0,1
USMCA—to,1,0
covidtoronto,1,0
seniorcare,1,0
datafraud,1,0
maskup),1,0
AMR,1,0
takecarebeforyoushare,0,1
outbreak,1,0
StayHomeOhio,4,1
JEN2020,0,1
Children,1,0
healthequity,1,0
BorisHasFailedUK,1,0
CovidForProfitScam,1,1
Uganda.,2,0
CA,1,0
MoneywebNews,1,0
Eid,1,0
โควิด19,2,1
MannKiBaat,2,0
seamusheaney,1,0
SATX,1,0
ONEV1,2,0
SeaBass,1,0
doglovers,1,0
IndefiniteLockdown,1,0
research,1,0
Limerick,1,0
DistanciationSociale,1,0
GoodJobCop,1,0
Wuhan,10,0
XiJinping,1,0
ALtogether,1,0
OdishaFightsCorona,1,0
Tampa,0,1
dc,1,0
SonicHealthcare’s,1,0
Precautions,2,0
HWRA,1,0
BharatBiotech,1,0
Telangana.,0,1
StopTheSpread,4,2
TrumpKillsTexas,1,0
TakeResponsibility,12,0
transparency,1,0
OperationMuskaan.,0,1
fox5atl,0,1
HEBobiwine,1,0
YouCantStopUS,1,0
MSM.,1,0
ZanupfMustGo,1,0
Manchester,1,0
"TrumpRally,",1,0
wearamask,1,0
LiberationDay,0,1
huntingtonbeach,1,0
coronavirus?”,1,0
PrayTogether,0,1
KochBrothers,1,0
drharry,1,0
photojournalism,1,0
covid19impactke,1,0
McDonalds,1,0
CoronaUpdatesInIndia,1,0
NBCNewsThreads,2,0
Trudeau,1,0
COVID19usa,1,0
MyCOVID19NaijaStory,1,1
lockDownSouthAfrica,1,0
HandWashChallenge,1,0
Democratic,1,0
DNC,1,0
Roadtrip,1,0
UCL,2,0
ClapForTheNHS:,0,1
Bangladesh,1,0
spreadHOPE,1,0
Ireland,2,0
Delta,0,1
CoronavirusUk,0,1
Pakistan.,1,1
HelpSaveSmallBusinesses,2,0
StatueOfUnity,0,1
NavajoNation,1,0
Hyderabad.,1,0
ShowYouCare,0,1
seafood,1,0
StoptheNCDCBill,1,0
Xinjiang,0,1
Jamaica.,1,0
onpoli,12,2
cowghee,1,0
WHA73,1,0
RiseAboveHate,1,0
BanditOfTheWeek,1,0
church,0,1
SaturdayMotivation,1,0
COVID19!,2,0
CDC,2,0
NewNormal:,0,1
"ShareASquare,",1,0
Pakistanis4Pakistanis,1,0
PromisesMadePromisesKept,0,1
Norway,0,1
pmtrudeau,1,0
dbresearch,1,0
ChinaVirus.,0,1
happydoctorsday,1,0
PE,1,0
antibodies,1,1
fullyopenca,1,0
WednesdayWisdom,1,0
2019_nCov,1,0
ChuckSchumer,1,0
TexasCovid19,2,0
CoronavirusCrisis,1,0
ventilators,1,1
25thAmendmentNow,1,0
真顔チャレンジ,1,0
US,1,1
COVID19PH,16,3
DelhiFightsCorona,2,0
earlyexperiences,1,0
drharryconsultants,1,0
WEAAD2020,1,0
ThursdayMotivation,1,0
Coronapanic,1,0
newborn,1,0
springst,1,0
TrumpCovidFails,0,1
PatriotPay,1,0
075,1,0
SundaySpotlight,1,0
netde,1,0
DrBirx.,0,1
KYSen,0,1
NeverForgotten,2,0
CoronaVirusSA,10,1
Training,1,0
care,1,1
istandwiththepresident,0,1
SAMorning,1,0
carrielam’s,1,0
Iran’s,1,0
world,1,0
Rutgers,1,0
PPE,8,1
Repeat.,1,0
CTET,1,0
FirstTimeInAfrica,1,0
WuhanVirusMadeInChina.,1,0
Guangdong,1,0
COVID,14,2
WhiteHousePressBriefing,1,0
Doncaster,1,0
Covid1984,0,1
Arsenal,1,0
Thread,4,0
Germany.,1,0
Hushpuppi,0,1
OurNHSPeople,0,1
COVIDConversations,2,0
ireland,1,0
Disability,1,0
COVID19Nigeria,8,0
sweettreats,1,0
GavinNewsom,1,0
Breaking,5,2
TeamCNO,1,0
ChinaMustExplain,1,0
Checkpoint,1,0
NationalFindARainbowDay!,1,0
TestKitScam,1,0
housing,1,0
Masks4Canada,2,0
TobaccoExposed,1,0
CarersWeek,1,0
GandujeHasFailedKano,0,1
COVIDEquityChat,1,0
medRxiv,1,0
RakhTuHausla,1,0
i4India,0,1
WIStaysHome,1,0
AprilFoolsDay,1,0
CoronaUpdate,6,2
yankees,1,0
FlattenTheCurve.,2,0
Q13FOX,1,0
CAF,0,1
newmusic,1,0
SocTwitter,1,0
clapforkeyworks,1,0
JairBolsonaro,1,0
WeAreNotPlaying,1,0
IndiaFightsCOVID19,2,0
YLP6,1,0
Coved_19,1,0
DontBeSillyBilly,1,0
fionaapple,0,1
coronavirus-related,1,0
SonuSood,1,0
virus,3,0
9News,1,3
MSNBC,1,1
sayNoToUGCguidlines,1,0
NairaForAccess,1,0
420day,1,0
HowWeGotHere,1,0
Hypocrites,1,0
"BruceLevell,",0,1
CovidLASG,2,0
coronavirus?,3,2
CriticalCare,1,0
film,1,0
resist,3,0
RENTRELIEF.,1,0
TIMS,1,0
bstrong,1,0
masks?,1,0
"H1N1,",1,0
coronavirus/#Covid19,1,0
Kerala's,1,0
WeHealAsOne,1,0
PKP,0,1
OnPoli,1,0
IWMD20,2,0
DrFauci,3,0
StopTheSpreadSF,1,0
LateLateShow,1,0
desighee,1,0
Corona19,1,0
LatsCovid19Journal,1,0
"lockdown,",1,1
JI,1,0
GeorgeFloyd,4,2
MaskUpUtah!,1,0
weather,1,0
Bakersfield,0,1
PKPB,1,0
YouAreNotAlone,0,1
CoronaVirusUpdates,2,0
ALLINCHALLENGE,2,0
wehaveroghts,1,0
PublicHealth,1,0
caregiver,1,0
Gravitas,2,0
DataEthics,1,0
EngageTheIG,0,1
COVIDStopsWithMe,1,0
Romania,1,0
FreedomDay,1,0
LadakhClash,1,0
WeSawThat,1,0
CFC,1,0
ImmuneSystem,1,0
SNP,1,0
economy,0,1
education,1,0
nc13,1,0
endthelockdown,1,0
"Mother,",1,0
CPEC,1,0
GlobalCitizen,2,0
smartmobility,1,0
PledgetoAmericasWorkers,0,1
Panorama,2,0
Malaysia,0,1
Zermatt,2,0
EndCorruptionNow,2,0
xhosa,1,0
fab,1,0
Recession,1,0
StayHomeandStaySafe.,1,0
"Wuhan,",2,0
"infographic,",1,0
medstudentcovid,1,0
CoronavirusKenya,0,1
RBI,1,0
VirtualParliament,1,0
AmericaStrong,3,0
KPBudget2020,1,0
PestoChampion,2,0
covid19-,1,0
CORONAVIRUS!,1,0
Olympics,1,0
TablighiJamat,4,0
Chico2020,1,0
TogetherWeBuild,1,0
SB19,1,0
YourHealthOurPriority,1,0
SanAntonio,1,0
"SARSCOV2,",1,0
COVID19.Special,1,0
BritishBasketball,1,0
HalloweenKills,1,0
BreachOfTravelBan,1,0
ShisonJun,1,0
UnitedAgainstCoronavirus,2,0
Oklahoma?,0,1
Crozier’s,1,0
getawaywithmurder.,1,0
BSLHealthAccess,1,0
CoronavirusLiar,2,1
HANNITY,1,0
WalkAway,2,0
coronapocolypse,1,1
YoonHak,1,0
NeilFerguson,1,0
extendlockdown,1,0
HealthcareHeroes,1,0
29thon9th,1,0
JerseyDay4Canada,1,0
TrumpLiesAmericansDie,3,1
EarthDay,1,0
DowningStreetBriefing,1,1
MaskTest,1,0
OpenAmericaToday,0,1
NHLBruins,1,0
hounews,1,0
Health,2,0
SlowTheSpread,0,1
survivor,1,0
JustTheFLU,1,0
CoverUp,0,1
Sekolah,1,0
CovidNGR,1,0
CoronaVirus.,4,0
