neg,neu,pos,compound
0.186,0.814,0.0,-0.6705
0.0,0.868,0.132,0.4767
0.259,0.741,0.0,-0.8606
0.208,0.792,0.0,-0.6124
0.141,0.859,0.0,-0.2023
0.084,0.862,0.054,-0.128
0.0,0.914,0.086,0.4767
0.258,0.661,0.081,-0.8402
0.0,1.0,0.0,0.0
0.0,0.92,0.08,0.5411
0.272,0.728,0.0,-0.6249
0.124,0.749,0.127,0.2732
0.245,0.503,0.252,-0.2263
0.0,1.0,0.0,0.0
0.077,0.923,0.0,-0.3818
0.151,0.849,0.0,-0.5994
0.0,1.0,0.0,0.0
0.094,0.906,0.0,-0.1531
0.0,1.0,0.0,0.0
0.149,0.702,0.149,0.0
0.226,0.705,0.069,-0.8374
0.095,0.766,0.14,0.25
0.0,1.0,0.0,0.0
0.0,0.908,0.092,0.466
0.2,0.8,0.0,-0.4588
0.209,0.643,0.149,-0.4039
0.119,0.881,0.0,-0.2263
0.052,0.894,0.054,0.0258
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.092,0.742,0.166,0.3182
0.0,0.833,0.167,0.4215
0.0,0.769,0.231,0.5574
0.0,1.0,0.0,0.0
0.0,0.843,0.157,0.6808
0.037,0.899,0.065,0.3291
0.128,0.658,0.214,0.7835
0.0,0.916,0.084,0.296
0.0,0.856,0.144,0.5972
0.077,0.84,0.083,0.0679
0.071,0.781,0.149,0.6359
0.137,0.863,0.0,-0.4019
0.0,0.853,0.147,0.6734
0.23,0.592,0.178,-0.2023
0.149,0.851,0.0,-0.6808
0.148,0.671,0.181,0.128
0.144,0.787,0.069,-0.3182
0.0,0.948,0.052,0.0935
0.0,0.909,0.091,0.5574
0.163,0.738,0.099,-0.6136
0.0,0.939,0.061,0.0772
0.223,0.708,0.069,-0.7184
0.1,0.9,0.0,-0.6774
0.08,0.766,0.154,0.5859
0.0,1.0,0.0,0.0
0.132,0.58,0.288,0.7543
0.103,0.897,0.0,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.231,0.668,0.101,-0.7494
0.13,0.87,0.0,-0.4939
0.0,1.0,0.0,0.0
0.052,0.836,0.112,0.3182
0.039,0.88,0.081,0.4019
0.0,1.0,0.0,0.0
0.105,0.716,0.179,0.5994
0.188,0.58,0.232,0.1531
0.244,0.63,0.126,-0.25
0.145,0.74,0.116,-0.1109
0.03,0.942,0.028,-0.0258
0.166,0.803,0.03,-0.7096
0.0,0.833,0.167,0.3818
0.293,0.672,0.035,-0.9319
0.033,0.736,0.231,0.8271
0.0,0.855,0.145,0.296
0.101,0.7,0.198,0.3612
0.0,0.825,0.175,0.8271
0.0,0.938,0.062,0.4215
0.128,0.872,0.0,-0.4466
0.0,1.0,0.0,0.0
0.147,0.784,0.068,-0.5279
0.068,0.864,0.068,0.2434
0.066,0.85,0.084,0.2103
0.0,1.0,0.0,0.0
0.054,0.622,0.324,0.9007
0.0,0.947,0.053,0.2263
0.146,0.854,0.0,-0.7184
0.0,1.0,0.0,0.0
0.13,0.592,0.278,0.8398
0.258,0.644,0.098,-0.6369
0.0,1.0,0.0,0.0
0.0,0.829,0.171,0.7506
0.105,0.754,0.141,0.3597
0.263,0.639,0.098,-0.7745
0.0,0.769,0.231,0.5574
0.182,0.672,0.146,-0.4215
0.158,0.743,0.099,-0.5106
0.169,0.831,0.0,-0.7964
0.07,0.93,0.0,-0.5255
0.092,0.786,0.122,0.1779
0.065,0.766,0.168,0.6705
0.0,0.606,0.394,0.3818
0.037,0.826,0.136,0.7003
0.0,0.924,0.076,0.4939
0.067,0.933,0.0,-0.4871
0.0,0.879,0.121,0.5719
0.105,0.895,0.0,-0.6114
0.217,0.783,0.0,-0.8402
0.081,0.846,0.073,-0.34
0.227,0.68,0.093,-0.8429
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.094,0.723,0.184,0.6271
0.366,0.576,0.058,-0.9325
0.057,0.943,0.0,-0.3182
0.0,1.0,0.0,0.0
0.229,0.677,0.094,-0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.956,0.044,0.2023
0.0,1.0,0.0,0.0
0.0,0.789,0.211,0.5766
0.102,0.819,0.08,0.0
0.029,0.926,0.045,0.205
0.0,1.0,0.0,0.0
0.167,0.833,0.0,-0.4939
0.0,1.0,0.0,0.0
0.0,0.678,0.322,0.7983
0.055,0.647,0.298,0.8928
0.072,0.928,0.0,-0.4767
0.0,0.859,0.141,0.5574
0.101,0.899,0.0,-0.5267
0.115,0.808,0.077,-0.4404
0.0,0.911,0.089,0.4466
0.0,0.899,0.101,0.5574
0.109,0.685,0.207,0.7824
0.242,0.716,0.043,-0.9022
0.0,0.92,0.08,0.4019
0.087,0.913,0.0,-0.2263
0.142,0.858,0.0,-0.5106
0.067,0.884,0.049,-0.2023
0.0,0.686,0.314,0.9386
0.0,0.919,0.081,0.5574
0.0,1.0,0.0,0.0
0.06,0.81,0.13,0.4019
0.0,1.0,0.0,0.0
0.079,0.852,0.069,-0.1007
0.0,0.864,0.136,0.7003
0.142,0.771,0.088,-0.5574
0.16,0.745,0.096,-0.34
0.09,0.804,0.106,0.128
0.227,0.773,0.0,-0.6249
0.275,0.725,0.0,-0.8948
0.169,0.831,0.0,-0.743
0.156,0.79,0.054,-0.5362
0.095,0.85,0.055,-0.2023
0.042,0.786,0.172,0.7964
0.203,0.797,0.0,-0.4215
0.084,0.916,0.0,-0.2732
0.0,1.0,0.0,0.0
0.0,0.898,0.102,0.3612
0.107,0.711,0.182,0.5526
0.0,1.0,0.0,0.0
0.118,0.805,0.077,-0.0772
0.05,0.788,0.162,0.7184
0.0,0.882,0.118,0.296
0.0,0.816,0.184,0.5574
0.1,0.9,0.0,-0.5994
0.078,0.922,0.0,-0.3182
0.0,0.657,0.343,0.9534
0.115,0.812,0.073,-0.3612
0.026,0.845,0.128,0.7531
0.0,0.919,0.081,0.5574
0.0,0.574,0.426,0.8555
0.221,0.71,0.069,-0.6081
0.153,0.529,0.318,0.4215
0.158,0.789,0.054,-0.7501
0.14,0.787,0.073,-0.5719
0.0,0.865,0.135,0.5574
0.0,0.959,0.041,0.2144
0.0,1.0,0.0,0.0
0.274,0.66,0.066,-0.7579
0.0,0.924,0.076,0.4019
0.0,1.0,0.0,0.0
0.096,0.748,0.156,0.6124
0.064,0.836,0.1,0.3182
0.0,0.658,0.342,0.8709
0.07,0.822,0.108,0.2263
0.101,0.594,0.305,0.9129
0.0,1.0,0.0,0.0
0.048,0.836,0.116,0.4767
0.0,0.667,0.333,0.6705
0.186,0.722,0.092,-0.2183
0.0,1.0,0.0,0.0
0.134,0.826,0.04,-0.4939
0.092,0.75,0.157,0.4137
0.037,0.758,0.206,0.8537
0.337,0.663,0.0,-0.9042
0.076,0.811,0.113,0.4753
0.093,0.907,0.0,-0.6249
0.0,0.929,0.071,0.4404
0.0,1.0,0.0,0.0
0.135,0.826,0.039,-0.5423
0.066,0.934,0.0,-0.4019
0.046,0.926,0.028,-0.1901
0.0,1.0,0.0,0.0
0.182,0.775,0.043,-0.6864
0.0,0.703,0.297,0.9217
0.0,0.833,0.167,0.296
0.158,0.722,0.12,-0.2244
0.0,0.781,0.219,0.6369
0.0,0.93,0.07,0.4215
0.112,0.85,0.037,-0.4939
0.0,0.803,0.197,0.7964
0.127,0.81,0.063,-0.4151
0.059,0.701,0.24,0.7906
0.072,0.797,0.13,0.1027
0.0,0.805,0.195,0.7003
0.202,0.798,0.0,-0.8225
0.0,1.0,0.0,0.0
0.073,0.839,0.087,0.1027
0.065,0.935,0.0,-0.4019
0.124,0.825,0.052,-0.4767
0.0,0.939,0.061,0.4215
0.207,0.705,0.088,-0.6037
0.128,0.872,0.0,-0.296
0.115,0.885,0.0,-0.3818
0.106,0.735,0.159,0.2023
0.089,0.911,0.0,-0.4804
0.077,0.671,0.252,0.7562
0.0,0.864,0.136,0.5093
0.0,1.0,0.0,0.0
0.0,0.816,0.184,0.7351
0.0,0.854,0.146,0.6486
0.046,0.772,0.182,0.7783
0.134,0.764,0.103,-0.3182
0.072,0.848,0.08,0.0772
0.0,0.909,0.091,0.3182
0.0,0.814,0.186,0.7845
0.0,0.61,0.39,0.4926
0.0,0.704,0.296,0.6369
0.0,1.0,0.0,0.0
0.175,0.721,0.104,-0.3527
0.209,0.756,0.035,-0.7845
0.176,0.824,0.0,-0.7472
0.0,0.891,0.109,0.4019
0.187,0.633,0.18,-0.1531
0.058,0.8,0.142,0.6841
0.0,1.0,0.0,0.0
0.0,0.732,0.268,0.5106
0.0,0.877,0.123,0.4215
0.152,0.728,0.119,-0.128
0.06,0.852,0.088,0.25
0.188,0.669,0.143,-0.0173
0.0,0.664,0.336,0.7639
0.281,0.719,0.0,-0.6486
0.117,0.883,0.0,-0.6249
0.32,0.68,0.0,-0.9636
0.067,0.88,0.052,-0.2023
0.0,0.952,0.048,0.3818
0.0,0.772,0.228,0.7717
0.08,0.804,0.116,0.2023
0.065,0.891,0.045,-0.25
0.179,0.821,0.0,-0.5719
0.0,0.896,0.104,0.5574
0.21,0.735,0.055,-0.7096
0.0,1.0,0.0,0.0
0.0,0.812,0.188,0.8122
0.114,0.729,0.157,0.2732
0.0,1.0,0.0,0.0
0.0,0.618,0.382,0.7777
0.434,0.566,0.0,-0.9742
0.0,1.0,0.0,0.0
0.247,0.657,0.096,-0.7809
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.306,0.694,0.0,-0.9322
0.0,0.848,0.152,0.6249
0.094,0.826,0.079,0.0601
0.063,0.628,0.309,0.9062
0.047,0.953,0.0,-0.1695
0.082,0.918,0.0,-0.3818
0.0,1.0,0.0,0.0
0.061,0.852,0.087,0.2904
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.886,0.114,0.6597
0.095,0.905,0.0,-0.2584
0.11,0.89,0.0,-0.4939
0.072,0.928,0.0,-0.3382
0.0,1.0,0.0,0.0
0.057,0.87,0.073,0.1739
0.0,1.0,0.0,0.0
0.079,0.815,0.105,0.0516
0.052,0.623,0.325,0.9409
0.208,0.77,0.022,-0.8777
0.0,1.0,0.0,0.0
0.098,0.902,0.0,-0.0772
0.0,1.0,0.0,0.0
0.0,0.921,0.079,0.5574
0.089,0.868,0.043,-0.323
0.207,0.667,0.126,-0.561
0.321,0.679,0.0,-0.4291
0.375,0.625,0.0,-0.6588
0.102,0.806,0.092,0.1531
0.427,0.573,0.0,-0.802
0.0,1.0,0.0,0.0
0.394,0.606,0.0,-0.9485
0.0,1.0,0.0,0.0
0.066,0.847,0.087,0.2023
0.06,0.826,0.115,0.34
0.171,0.78,0.05,-0.8702
0.088,0.912,0.0,-0.3818
0.0,1.0,0.0,0.0
0.054,0.946,0.0,-0.0516
0.107,0.795,0.098,-0.0772
0.0,0.816,0.184,0.7351
0.0,0.845,0.155,0.6486
0.0,1.0,0.0,0.0
0.078,0.822,0.101,0.2518
0.102,0.778,0.12,-0.0451
0.097,0.844,0.058,-0.2006
0.251,0.749,0.0,-0.5719
0.0,0.971,0.029,0.0772
0.209,0.791,0.0,-0.7003
0.149,0.769,0.081,-0.25
0.071,0.929,0.0,-0.1531
0.292,0.708,0.0,-0.5106
0.0,0.913,0.087,0.3182
0.114,0.668,0.218,0.6482
0.0,0.714,0.286,0.7184
0.333,0.667,0.0,-0.8402
0.085,0.829,0.085,-0.25
0.0,0.949,0.051,0.4019
0.0,1.0,0.0,0.0
0.221,0.737,0.041,-0.875
0.098,0.902,0.0,-0.5719
0.079,0.921,0.0,-0.3244
0.0,1.0,0.0,0.0
0.371,0.629,0.0,-0.927
0.0,1.0,0.0,0.0
0.215,0.785,0.0,-0.886
0.094,0.755,0.151,0.4767
0.0,1.0,0.0,0.0
0.186,0.727,0.086,-0.4939
0.132,0.71,0.157,0.0772
0.104,0.896,0.0,-0.5719
0.046,0.614,0.34,0.9409
0.218,0.588,0.193,-0.0772
0.078,0.861,0.061,0.0258
0.0,1.0,0.0,0.0
0.078,0.884,0.038,-0.4404
0.145,0.855,0.0,-0.5256
0.0,1.0,0.0,0.0
0.174,0.754,0.072,-0.8143
0.252,0.643,0.105,-0.7351
0.318,0.52,0.163,-0.9087
0.0,1.0,0.0,0.0
0.111,0.816,0.073,-0.4019
0.0,1.0,0.0,0.0
0.0,0.867,0.133,0.6739
0.096,0.904,0.0,-0.5106
0.0,0.88,0.12,0.6369
0.106,0.894,0.0,-0.5574
0.0,1.0,0.0,0.0
0.072,0.928,0.0,-0.34
0.0,0.939,0.061,0.2263
0.109,0.891,0.0,-0.4005
0.0,1.0,0.0,0.0
0.11,0.89,0.0,-0.4019
0.156,0.797,0.047,-0.7721
0.0,0.675,0.325,0.6523
0.113,0.797,0.09,-0.1779
0.177,0.758,0.065,-0.4767
0.0,0.932,0.068,0.4939
0.103,0.897,0.0,-0.4939
0.0,0.955,0.045,0.2732
0.0,1.0,0.0,0.0
0.183,0.699,0.118,-0.6124
0.0,1.0,0.0,0.0
0.0,0.931,0.069,0.3182
0.227,0.697,0.076,-0.8011
0.167,0.833,0.0,-0.296
0.073,0.927,0.0,-0.296
0.0,0.96,0.04,0.0772
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.051,0.949,0.0,-0.2263
0.15,0.748,0.103,-0.128
0.075,0.781,0.144,0.3581
0.038,0.703,0.259,0.9001
0.111,0.764,0.125,0.2023
0.365,0.635,0.0,-0.7845
0.126,0.874,0.0,-0.6808
0.0,1.0,0.0,0.0
0.0,0.859,0.141,0.5574
0.188,0.676,0.135,-0.2732
0.052,0.9,0.048,-0.0418
0.294,0.706,0.0,-0.9022
0.102,0.898,0.0,-0.284
0.0,0.768,0.232,0.7552
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.096,0.602,0.301,0.5267
0.0,1.0,0.0,0.0
0.149,0.702,0.15,0.0176
0.046,0.894,0.06,0.1779
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.171,0.829,0.0,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.062,0.938,0.0,-0.25
0.095,0.905,0.0,-0.2263
0.09,0.882,0.028,-0.4767
0.0,0.934,0.066,0.4019
0.098,0.807,0.095,-0.0258
0.193,0.705,0.102,-0.714
0.0,0.927,0.073,0.5574
0.113,0.887,0.0,-0.5574
0.095,0.905,0.0,-0.296
0.125,0.719,0.155,0.3182
0.0,0.882,0.118,0.4389
0.13,0.795,0.075,-0.1696
0.171,0.699,0.129,-0.4572
0.136,0.801,0.063,-0.4767
0.0,1.0,0.0,0.0
0.181,0.819,0.0,-0.4767
0.119,0.778,0.104,-0.1779
0.136,0.822,0.042,-0.6124
0.049,0.829,0.122,0.4215
0.066,0.856,0.078,-0.1071
0.0,0.968,0.032,0.0772
0.0,1.0,0.0,0.0
0.067,0.828,0.105,-0.1926
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.393,0.607,0.0,-0.875
0.045,0.879,0.076,0.0387
0.227,0.773,0.0,-0.6124
0.12,0.88,0.0,-0.5848
0.154,0.807,0.039,-0.7269
0.0,1.0,0.0,0.0
0.0,0.927,0.073,0.4588
0.0,0.923,0.077,0.2732
0.0,0.883,0.117,0.5994
0.113,0.649,0.238,0.4404
0.0,0.848,0.152,0.5267
0.082,0.815,0.103,0.1779
0.0,1.0,0.0,0.0
0.225,0.775,0.0,-0.8271
0.0,0.828,0.172,0.807
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.063,0.687,0.25,0.7783
0.427,0.573,0.0,-0.802
0.0,1.0,0.0,0.0
0.154,0.846,0.0,-0.4767
0.052,0.948,0.0,-0.3818
0.038,0.888,0.074,0.1744
0.0,0.868,0.132,0.4404
0.194,0.806,0.0,-0.7579
0.0,0.833,0.167,0.1027
0.241,0.759,0.0,-0.2263
0.0,0.788,0.212,0.8779
0.167,0.833,0.0,-0.5574
0.067,0.836,0.097,0.2677
0.0,0.878,0.122,0.3612
0.186,0.753,0.061,-0.7184
0.18,0.82,0.0,-0.296
0.0,0.881,0.119,0.6124
0.0,1.0,0.0,0.0
0.0,0.874,0.126,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.224,0.701,0.075,-0.8591
0.0,1.0,0.0,0.0
0.163,0.718,0.12,-0.4199
0.0,1.0,0.0,0.0
0.0,0.916,0.084,0.2732
0.0,0.927,0.073,0.4019
0.0,1.0,0.0,0.0
0.215,0.785,0.0,-0.6571
0.049,0.784,0.167,0.7184
0.328,0.538,0.134,-0.5574
0.101,0.817,0.082,-0.2648
0.0,0.861,0.139,0.7783
0.226,0.774,0.0,-0.5423
0.142,0.609,0.249,0.6369
0.077,0.837,0.086,-0.2942
0.241,0.608,0.15,-0.4478
0.127,0.757,0.116,-0.128
0.035,0.698,0.267,0.8402
0.087,0.688,0.225,0.877
0.0,0.864,0.136,0.7184
0.0,1.0,0.0,0.0
0.129,0.776,0.094,-0.3612
0.0,0.916,0.084,0.4939
0.128,0.872,0.0,-0.2263
0.183,0.58,0.237,0.0516
0.109,0.768,0.124,0.4019
0.083,0.768,0.149,0.3716
0.0,0.83,0.17,0.802
0.0,1.0,0.0,0.0
0.059,0.837,0.104,0.4153
0.219,0.695,0.086,-0.7178
0.0,0.903,0.097,0.4404
0.0,0.754,0.246,0.5994
0.134,0.866,0.0,-0.7783
0.146,0.758,0.096,-0.368
0.0,1.0,0.0,0.0
0.0,0.936,0.064,0.2732
0.07,0.93,0.0,-0.0516
0.0,1.0,0.0,0.0
0.113,0.743,0.144,0.128
0.102,0.748,0.15,0.3182
0.0,1.0,0.0,0.0
0.048,0.75,0.202,0.7783
0.0,1.0,0.0,0.0
0.291,0.709,0.0,-0.6249
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.079,0.881,0.04,-0.4199
0.0,0.746,0.254,0.8481
0.0,1.0,0.0,0.0
0.0,0.898,0.102,0.3612
0.0,1.0,0.0,0.0
0.104,0.723,0.173,0.1779
0.052,0.658,0.29,0.9081
0.263,0.642,0.095,-0.8442
0.365,0.635,0.0,-0.5574
0.094,0.837,0.069,-0.0516
0.0,0.755,0.245,0.5994
0.117,0.667,0.217,0.296
0.081,0.713,0.206,0.6662
0.0,0.798,0.202,0.5106
0.069,0.931,0.0,-0.2247
0.0,0.925,0.075,0.3612
0.092,0.852,0.056,-0.1531
0.03,0.795,0.176,0.836
0.14,0.86,0.0,-0.6369
0.064,0.936,0.0,-0.4466
0.195,0.737,0.068,-0.6411
0.246,0.528,0.226,0.3182
0.023,0.823,0.154,0.7579
0.145,0.767,0.087,-0.2748
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.05,0.788,0.162,0.7184
0.115,0.885,0.0,-0.5267
0.126,0.789,0.085,-0.25
0.0,0.861,0.139,0.5267
0.0,0.783,0.217,0.5574
0.0,0.884,0.116,0.3612
0.287,0.713,0.0,-0.9419
0.113,0.789,0.098,-0.1779
0.375,0.556,0.069,-0.7783
0.122,0.741,0.137,0.2023
0.172,0.714,0.113,-0.1027
0.122,0.878,0.0,-0.2023
0.035,0.897,0.068,0.3321
0.272,0.728,0.0,-0.6249
0.136,0.864,0.0,-0.296
0.358,0.642,0.0,-0.8316
0.0,1.0,0.0,0.0
0.0,0.812,0.188,0.7003
0.0,1.0,0.0,0.0
0.0,0.872,0.128,0.296
0.0,0.753,0.247,0.5574
0.0,0.769,0.231,0.8271
0.096,0.831,0.073,0.0258
0.065,0.711,0.224,0.6435
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.308,0.692,0.0,-0.7906
0.263,0.737,0.0,-0.8176
0.0,1.0,0.0,0.0
0.085,0.817,0.098,0.3595
0.152,0.848,0.0,-0.4939
0.0,0.945,0.055,0.2716
0.0,0.581,0.419,0.5574
0.0,0.628,0.372,0.8643
0.0,0.832,0.168,0.8176
0.379,0.621,0.0,-0.6697
