followers_count,following_count,tweet_count,listed_count
33762,464,35739,107
704767,12234,225565,7413
390023,1968,46662,3203
1349201,5916,4944,1385
7965315,2027,148055,17276
8415,286,20993,50
3038,2856,1030,8
1010519,488,37710,922
11422,3028,11914,392
11247891,1752,69345,35078
4634583,1628,361486,43605
708754,1070,46703,7869
2377399,1,5803,4788
21642,1069,72661,780
9719,1970,78603,43
3837508,549,15835,14145
5207638,768,848921,7562
13023,975,48348,47
231295,1477,8192,2486
2934023,1618,49409,11711
324093,2338,390572,2559
1452511,1076,17587,12212
17494,19245,33929,15
58079772,1104,373314,154346
6196,4663,12615,2
19650,18074,6652,19
63059105,121,77788,193061
165843,208,37477,803
26637446,143,305018,120773
55773,4038,94442,2038
190359,666,34346,523
1374802,1728,48081,9307
1731985,1540,32567,5278
567679,126,201254,2678
37623,2439,44438,632
8930955,67769,230458,70165
4680,346,851,100
2575463,775,375695,8397
7770697,240,304783,55981
202970,1130,40893,1242
1064465,183,12904,3163
524942,7530,39489,4136
87873,1917,34347,2175
15809382,6826,318198,104352
25556160,11,24081,18003
113915,625,4957,448
2326910,608,297148,26572
46441,14959,39821,127
44975,16,5664,273
3762315,1,122714,4976
8831,3657,18167,178
523677,693,23816,3154
19679314,732,16523,26802
525426,360,11122,3586
6919459,0,557732,6103
7769293,23,522612,30026
134877,34,6194,1274
721897,10820,64185,8461
155251,1483,27508,1787
1564831,1424,19496,7276
19991,21981,209174,614
10623872,4623,19579,51616
4365729,296,1014723,29069
409369,3282,50680,6638
286538,1079,144149,3181
225159,391,15179,1047
756920,12526,31024,1074
1193,998,8501,33
7417,888,4142,84
3411157,24095,22784,14494
10623872,4623,19579,51616
448117,4819,56663,7232
871691,4314,208103,785
396222,575,6912,6310
4784,5249,21204,9
10784,3212,35915,55
1224254,383,14064,746
1073,1700,46166,12
226748,2097,9725,2109
2028365,1183,352323,13294
3413,4334,37678,9
144080,21701,85517,190
9008,2465,765,92
13439,12,712609,572
17164,3437,25857,276
554462,355,81499,1622
654521,1898,65611,6202
4741846,912,374620,37014
641404,541,41997,11822
8357,4287,12501,2
496558,2182,275340,2956
2027654,1537,67442,10820
7965315,2027,148055,17276
357148,952,216539,5442
6919461,0,557732,6103
1548415,114,30327,688
1982573,368,667316,8578
50013266,3,37975,146708
7769292,23,522612,30026
3143977,33,6901,7245
8154122,1643,45141,17709
1584,4963,77379,39
730211,29333,203930,5436
1367737,503,3744,3125
15809317,6826,318198,104352
95081,246,7325,851
674977,10179,10539,5402
1319308,791,81149,9476
407621,772,220122,4112
708451,996,25540,4269
1481314,3715,227317,4815
25556306,11,24081,18000
3870750,863,19989,18933
100691,45710,182951,133
1185,706,7398,27
153619,4725,71612,1425
438044,975,10650,3106
4633,4378,148935,12
4061472,1035,7225,8388
5784,1035,11061,31
772790,8937,76666,2066
197102,8553,82688,372
1455365,3474,53774,4044
5314,2635,15767,126
25160878,1218,853694,133989
25556160,11,24081,18003
25160952,1218,853694,134001
47905,5392,120709,1234
150970,23605,72942,995
79541,5774,28628,1229
2934026,1618,49409,11711
17475771,488,384868,65507
1590799,110,158955,9296
78662610,2431,32747,28630
293545,1324,10859,1219
4915145,3,56666,21727
883047,397,25383,10112
762387,301,271984,3711
346526,2154,5272,1740
5769,3367,11809,142
344267,1005,30823,2520
198296,939,8706,3841
940296,250951,21209,2593
601095,4201,283274,3780
1837,1214,3294,1
111689,2829,51732,1607
8325,5527,8622,10
1221815,1637,109939,11150
756106,1794,42956,4772
4179046,692,42535,3459
34249,992,102473,343
2355758,5045,41393,13748
4702694,790,278969,30207
93057,58281,20515,155
326751,236515,2125,873
2286146,4501,39043,6449
176029,119308,444495,184
458311,1694,34817,3413
8621919,590,335401,55929
297504,56377,110999,5498
33681,9920,66099,134
715513,2757,14742,2249
5870155,329,4315,12032
1202755,2251,621510,3307
73032,2356,20813,1080
2730781,212,2970,2362
481704,4594,37898,1516
109453,21,35,537
61122,1244,16913,132
74274,13,19888,1087
64434,1026,41109,547
475326,479,7091,1951
1565375,3117,8645,7339
54157,2119,24780,728
3095564,686,419440,21672
19839808,1065,371722,125454
10473646,1060,746374,69132
98775,799,59158,840
34178192,48,8198,39076
2229612,0,11211,13166
347399,224,32943,123
105778,3,4056,234
1297,538,8590,13
20602,824,20660,327
191517,130026,27223,1032
545644,32,118862,8947
100171,1418,76371,1927
647058,2033,63114,2689
2199,822,2191,74
772790,8937,76666,2066
76064,69568,62269,45
28221,1883,22082,758
127650,700,6834,1063
2028365,1183,352323,13294
6966,785,8916,254
52927444,877,471442,215313
346419,63279,109326,1877
5342387,199,162539,3516
4365731,296,1014723,29069
4634583,1628,361486,43605
708451,996,25540,4269
927317,3142,82133,2376
7965314,2027,148055,17276
33668,1055,16473,422
518945,3635,82121,1074
43264896,324,13562,83707
334227,1,130591,431
13854,5305,19009,325
19189,1525,53638,269
17063921,14,937547,14165
772789,8937,76666,2066
8245620,1391,797178,66398
133878,387,53054,1126
92939,2217,51963,572
9103566,1857,338239,50542
5149146,5393,36752,15307
152250,627,9274,1412
58079802,1104,373314,154346
5870155,329,4315,12032
44829,44640,109054,40
12986967,3725,13739,25184
3933857,7058,432800,35576
27811,1576,5692,78
15570728,1471,20634,23992
470081,254,72266,2399
48617,509,32415,30
8894,7320,13540,91
7965314,2027,148055,17276
310185,4076,14237,4120
4860,4837,71069,3
25556160,11,24081,18003
224622,890,14873,2097
140859,636,11893,833
351833,754,5305,1201
120266,2627,59239,595
53589,35254,96735,25
2028380,1183,352323,13294
50133,2610,34679,334
46698,1669,30859,847
671790,1,31174,402
17475773,488,384868,65507
10273,1828,4414,65
655569,538,365831,4243
20585969,279,6158,4568
4634623,1628,361486,43601
2934028,1618,49409,11711
49696,150,108919,1084
1707700,152,69165,7236
293547,1324,10859,1220
58079805,1104,373314,154346
17475773,488,384868,65507
1919,71,145,28
8398,996,22302,52
705059,747,313664,2441
58079805,1104,373314,154346
111399,1953,59661,1657
2575465,775,375696,8397
5909581,565,12458,18148
38708,538,23921,13
1967348,1918,70933,10163
1375150,1026,382353,22889
932733,122,8921,2549
65914,3861,203390,752
708451,996,25540,4269
82277,1278,5568,1184
80352,748,9960,2156
596075,38046,11605,385
202970,1130,40892,1242
111399,1953,59661,1657
443322,1271,64238,6459
1274278,1275,33656,10116
1069252,392,91846,1582
6530,4426,14657,96
2118142,7368,194628,12677
13907731,93,491767,48741
3462825,857,179932,5420
3879967,104,28874,1121
31476,978,28460,423
4551,4982,5980,105
522576,73,39533,265
81736,388,35702,61
579132,2267,110513,2918
111393,1953,59661,1657
5843714,10,18669,20183
1307138,1,664,259
326637,725,59316,2855
7908,5400,54570,11
52927458,877,471442,215313
548241,1108,23092,7964
475326,479,7091,1951
224731,1984,9626,4592
171339,3689,81570,2048
26990,931,10366,629
15892,1995,23861,19
387346,3878,18237,1347
917955,45117,123086,2906
31472836,960,13382,42407
7248058,910,313578,46352
1145877,1043,56206,3684
349878,2625,363351,3797
48186,3290,36586,1144
108606,2085,54000,2281
33789,27506,91604,21
19653,9685,71755,10
56568,7917,23488,283
141646,1813,6778,1221
1125273,2324,17681,186
7769300,23,522612,30026
867167,483,24690,2566
601095,4201,283274,3780
3621,410,2092,9
13907732,93,491767,48741
6303552,63,2757,4798
24260,94,62059,552
1590800,110,158956,9296
91508,555,42706,955
4825,1821,38449,55
8350727,1061,975330,8226
357399,2353,50750,143
9674635,542,106902,84118
191704,53,537,63
293545,1324,10859,1219
721906,10820,64185,8460
114581,1897,7501,616
671790,1,31174,402
2377462,2,5803,4789
166395,2471,122713,1916
1455369,3474,53774,4044
5908387,300,17915,22471
310185,4076,14237,4121
77713,855,7003,687
179884,3320,33794,2214
1885215,680,22150,3750
25160886,1218,853694,133989
2229611,0,11211,13166
1143,175,325,13
2289339,8,12740,1102
4717033,717,399894,5173
970,3,111,1
1274962,1550,240775,9161
35788,728,41348,162
48883,364,14367,128
80881,596,11822,321
986814,7499,47086,8152
290442,5885,32896,2084
154955,67334,100991,359
624319,170,13149,184
19155,3133,16477,449
348007,1471,155849,123
268309,885,268599,1315
2586,3250,19917,1
657419,1593,69185,10064
617663,570,77209,976
5337478,517,33312,2371
9103596,1857,338239,50541
33814,11964,21363,319
708451,996,25540,4269
882050,7526,362486,7233
774852,5181,24333,3148
157868,2022,24545,1413
59553,3505,36020,506
15923201,7,1369,11121
378712,726,22061,887
90481,1330,50392,2350
271240,7292,93437,1620
8245623,1391,797178,66399
326752,236515,2125,873
2499784,4433,113915,10646
17,22,557,0
811685,6280,29664,8550
26885,2935,157061,595
1590800,110,158956,9296
2593,1067,1895,69
198621,758,43194,3677
3837526,549,15835,14142
2316382,41,16363,1228
142818,8912,60273,4391
68735,975,37823,301
378120,10380,59591,1103
3602,1468,6394,23
63059126,121,77788,193061
404968,3917,67939,9782
1924,2711,4469,23
25556161,11,24081,18003
548240,1108,23092,7964
1457018,2024,161481,16049
579132,2267,110513,2918
487147,795,109367,7940
515351,399,64635,324
236642,992,4844,132
5878919,59,14497,11673
32646,1065,34405,894
20585972,279,6158,4568
12728,1035,5410,144
58079816,1104,373314,154346
2053949,2679,22752,367
425194,1263,22055,2412
641404,541,41997,11822
1281269,860,580989,2280
13907737,93,491767,48741
4412067,459,5725,10315
319048,463,79919,2526
50392,42801,280014,3
2660223,10994,470418,20730
671790,1,31174,402
1787867,1,3626,1580
8245624,1391,797178,66399
339454,1097,15069,2070
331340,3473,48987,4374
38386,1257,6257,937
1236,287,14833,9
2499784,4433,113915,10646
302755,3121,11809,2209
247455,56433,66819,1331
60386,824,8418,57
388161,1934,119854,8022
20234,12936,18234,1
49047,467,121927,785
1367365,5996,40340,4523
122179,1104,5531,2070
1500326,283,104042,5670
80107,2075,160809,2274
917955,45117,123086,2906
8452350,2349,111773,2884
9103571,1857,338239,50542
53303,52292,137435,80
333241,453,46767,3469
89180,7234,75298,2320
17475776,488,384868,65507
12804686,6,7380,16041
708451,996,25540,4269
25556161,11,24081,18003
68886,1328,283759,792
711024,394,20845,8970
147770,2,1077,95
7769300,23,522611,30026
293545,1324,10859,1219
3622196,1518,88882,8554
1548411,114,30327,688
1625178,8251,57498,533
1246498,802,81925,7322
2660224,10994,470418,20730
31092,299,3457,30
7965315,2027,148055,17276
469095,6790,40521,3203
2195186,433,393123,3795
25160967,1218,853694,134001
306854,192,38444,2682
17475776,488,384868,65507
2118144,7368,194628,12677
5843716,10,18669,20183
2431465,616,30298,8174
5018,1386,10701,224
5093199,2193,522421,3227
1557661,8,48208,472
6919462,0,557733,6103
10473655,1060,746374,69132
671812,1,31174,402
13907738,93,491767,48741
1097980,20,83597,1046
62231,1446,48568,1500
105134,1183,114064,2461
72355976,119,35446,72600
38636,334,32161,754
68965,505,8676,1923
10162571,336,544154,21937
43644,705,4319,39
317713,3049,107891,2775
25160892,1218,853694,133989
1885215,680,22150,3750
58079753,1104,373314,154337
198621,758,43194,3677
43702,2591,20414,493
6161062,603,61213,1519
4410762,698,239040,6677
1717694,99,27992,694
647094,2033,63114,2690
4634,4682,10568,11
1590801,110,158956,9296
867167,483,24690,2566
19160095,1714,426917,106519
92376,7006,23696,756
58079830,1104,373314,154346
325,35,2023,1
12488,11962,28021,11
917955,45117,123086,2906
1221815,1637,109939,11150
96625,3037,29768,901
19679324,732,16523,26802
97732,42101,9811,538
5908387,300,17915,22471
882050,7526,362486,7233
3692313,406,1262632,26128
40529,2461,8856,684
58079755,1104,373314,154337
294380,13168,68020,1425
122181,1989,9895,2037
4653328,162,12345,835
1590803,110,158956,9296
141581,157,4880,497
94316,122,10670,540
278835,378,36476,2218
2087525,8643,58031,13751
10220596,1558,18151,23722
5907611,929,377283,20034
26744,988,19849,269
15809390,6826,318198,104352
22081,4897,10594,307
22087,6973,47505,711
491018,921,163514,4240
3343927,10480,257224,25474
63059132,121,77788,193061
19159901,1713,426917,106534
162598,1541,11809,3542
120266,2627,59239,595
243521,556,15154,274
2431371,616,30298,8172
34178217,48,8198,39076
9053979,398,137290,64350
1236979,353,101102,7551
4139908,260,95361,33885
229370,549,10419,527
248369,2478,5105,2048
45123,7832,42166,1275
556786,4049,6699,1704
84145,333,75457,745
25015,4783,91437,298
3217,3614,9789,1
15565,1301,58347,150
111399,1953,59661,1657
13907671,93,491767,48741
1534,834,1445,14
152804,137,5750,540
58079835,1104,373314,154346
13115,1923,47432,281
20381,310,2477,150
2285754,2116,18561,12382
8417,3183,10001,37
52640,2780,9282,400
2430900,1490,159488,21259
2229612,0,11211,13166
5870155,329,4315,12032
9103571,1857,338239,50542
268118,6043,182189,4854
1145154,10382,50748,3950
51888,645,7900,687
2229612,0,11211,13166
50862,1972,54291,446
111399,1953,59661,1657
25160893,1218,853694,133989
23658,185,26282,106
657419,1593,69185,10064
709215,987,3054,2216
152560,4293,63428,851
8415,286,20993,50
10623875,4623,19579,51616
169565,602,166403,1115
17063978,14,937548,14165
15595,4931,46360,33
75177,5541,43376,1793
261471,1349,221238,1706
25556306,11,24081,18000
34178219,48,8198,39076
25556160,11,24081,18003
142797,379,67302,1189
3933858,7058,432800,35576
25556160,11,24081,18003
4207,392,103756,119
1885215,680,22150,3750
18236,2203,4878,521
514545,10,29073,861
1885215,680,22150,3750
4717036,717,399894,5173
617,395,57508,5
1270122,7912,41907,9199
68660,24969,19643,237
34178220,48,8198,39076
1546954,513,41116,2231
6658,776,40836,11
114018,487,493,444
1319310,791,81149,9476
283434,1240,105592,3109
60553,10789,25654,773
4386885,2545,16056,17248
10220595,1558,18151,23725
148285,51586,140677,114
58079842,1104,373314,154346
81315,4054,48213,1897
943444,2938,86812,1940
4949,637,18953,12
73032,2356,20813,1080
797734,668,33065,6752
10473696,1060,746374,69134
52927487,877,471442,215313
19680054,732,16523,26805
55488,2317,19363,643
42934,4591,78278,529
17475780,488,384868,65507
747615,775,276579,6879
1883519,535,213159,5361
52927487,877,471442,215313
52927124,877,471442,215308
383823,741,9749,2630
222891,1769,95900,2556
125209,4863,158969,3976
274355,279,30884,3239
27734,879,794,289
171915,25,4256,611
147657,1720,32337,552
115159,63068,233573,782
30258,3500,123954,65
13907743,93,491767,48741
52927489,877,471442,215313
21694,300,8295,46
293545,1324,10859,1219
882050,7526,362486,7233
1373,3122,7269,31
310185,4076,14237,4121
4634586,1628,361492,43605
1811389,9076,32908,6078
312999,3428,9010,2509
5870155,329,4315,12032
772790,8937,76666,2066
8245594,1391,797178,66402
218328,128120,212795,297
867167,483,24690,2566
3888,15,36,4
6919466,0,557733,6103
1274964,1550,240775,9161
7248003,910,313578,46355
122457,5694,285151,1223
512465,173,1873,1348
191072,24,246,703
58079851,1104,373314,154346
19839823,1065,371722,125454
44009,2059,19083,640
614967,723,219781,2213
282443,1121,18713,1641
80878,3725,68089,1560
2722082,1976,88685,14303
867111,483,24690,2566
271007,425,19271,131
21285,5335,23496,279
58079853,1104,373314,154346
110717,833,33743,878
3356,3768,3851,0
18834,2873,14620,705
7965318,2027,148056,17276
1155690,1338,127308,28111
315580,569,80594,1602
42885,2582,41117,511
8621922,590,335401,55929
215140,5434,42283,3112
17439,82,783,105
2170,1223,1755,67
327894,616,93669,8048
1293123,880,26009,5979
28293,837,12660,341
25556162,11,24081,18003
223551,7700,20096,810
512459,173,1873,1347
475321,479,7091,1951
134311,1694,10657,739
887676,133,329140,2535
2431465,616,30298,8174
34176791,48,8198,39074
1287093,411,7933,516
3124,3727,63775,10
1761306,195444,51377,5239
4365739,296,1014724,29069
450576,1746,21039,1953
44447,7683,20003,35
43002,1940,33131,768
2289339,8,12740,1102
686967,886,39338,2177
422343,1112,36183,1003
103048,347,144409,1330
215901,2516,54164,1165
23249,2177,39769,658
180377,358,5284,1224
36596,797,42265,337
2743031,1290,238731,9877
4381664,338,211869,21971
927943,283,323685,3919
153915,24293,40772,768
28128,24010,4606,20
6420,1054,36542,20
5093203,2193,522422,3227
15130,15325,154367,67
4814866,195,6065,3869
4386885,2545,16056,17252
667282,155,304788,5210
762387,301,271984,3711
548240,1108,23092,7964
5908388,300,17915,22471
111399,1953,59661,1657
5679,5562,108681,13
241687,4277,69518,3465
7965318,2027,148056,17276
63059144,121,77788,193061
39401,4273,73375,137
1319311,791,81149,9476
305896,1354,7754,2611
24799,5490,9004,14
1246499,802,81925,7322
25944,1252,100784,182
319048,463,79919,2526
8930961,67769,230458,70165
1591703,488,14291,15361
29154,227,12280,155
593744,5577,3673,156
223551,7700,20096,810
2631,319,1011,51
158380,2002,9128,1185
267714,1481,26315,4647
57378,5138,60199,1140
111393,1953,59661,1657
201306,1808,18590,1391
186392,1071,13810,1082
81675,771,39785,165
667267,155,304789,5209
1625188,95,94253,463
94317,122,10670,540
17475781,488,384868,65507
366706,6969,21840,4442
4222874,675,147928,2912
32780,2479,90657,158
196989,1130,184316,1165
1319311,791,81149,9476
1074124,88745,305347,4634
795231,7356,228161,14221
59469,2017,27769,416
1375152,1026,382354,22889
3623498,6829,76021,33779
19733,2416,19912,299
270362,98595,47685,1363
2028368,1183,352324,13294
971384,65200,333074,3195
4702638,790,278970,30205
31576,475,9414,704
23637,1145,9472,64
58079862,1104,373315,154346
662550,262,80053,7571
181232,2392,23924,3124
1485589,250,28036,3403
91668,330,104280,2323
9103599,1857,338239,50541
11247960,1752,69345,35078
15461294,1200,84919,44125
152560,4293,63428,851
361566,1250,65657,2064
10397,59,6281,20
1283807,12692,55704,670
39661,34603,55313,30
190090,688,15104,3657
1189344,4435,607733,1335
21304,18019,15230,9
2551128,4460,35134,8546
302081,183,11591,1551
25160904,1218,853696,133989
900366,17,115213,9960
58811871,401,3878,122163
61732706,0,15008,87697
54199,17,51,187
58079864,1104,373315,154346
11291480,1009,52477,6762
586236,617,41418,1221
873861,9585,36411,1753
81463,1229,216253,37
8930983,67768,230458,70165
4915149,3,56666,21727
421410,1046,17857,1723
1484135,1605,12680,11133
6429,320,2867,61
670536,1057,118263,6746
43425,26499,3031,17
4634585,1628,361492,43605
776741,158,4968,3902
133230,2186,42243,1373
150009,4176,30392,697
16681360,0,7701,9702
2326894,608,297148,26572
225155,391,15179,1047
7965319,2027,148056,17276
1274964,1550,240775,9161
6259587,670,775474,8854
1787869,1,3626,1580
2326894,608,297148,26572
25160906,1218,853696,133989
17592,17104,99500,36
1787869,1,3626,1580
1770,1473,5045,37
20585980,279,6158,4568
95081,246,7328,851
26783,23191,183352,6
57004,755,27955,348
14618,180,23812,250
1224240,383,14064,746
4365740,296,1014724,29069
8154195,1643,45141,17709
47671,4956,34287,98
8262559,36,199344,13775
2141,3137,33880,21
226195,2164,52128,878
7769306,23,522611,30026
7581,1038,10133,57
1828229,480,280972,1371
2028368,1183,352324,13294
15809401,6826,318198,104352
8350684,1061,975331,8226
5878891,59,14497,11673
346420,63280,109330,1877
2229612,0,11211,13166
4365810,296,1014724,29072
3692313,406,1262633,26128
74675,384,9127,1152
1224258,383,14064,746
2522534,1535,248815,8505
2229612,0,11211,13166
36490465,18,345837,131149
7965319,2027,148056,17276
16046,1467,21166,70
2904431,145,20576,10921
1501841,366,160654,9378
169565,153,13629,890
58079866,1104,373315,154346
1232308,1420,31614,8912
60578,262,21771,61
788745,2807,14197,3446
19160101,1714,426917,106519
27047,307,10972,850
513402,2759,34445,5623
2660135,10993,470418,20729
41452,7114,237863,1110
721032,12767,11119,6198
357299,897,13772,1904
115734,41317,122779,163
110933,1644,24030,1146
78663413,2431,32747,28631
2195187,433,393124,3795
246513,1573,23625,4199
113437,1062,148176,511
